YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKDAY,6,TRAIN,EW29,9573,52746
2025-12,WEEKDAY,9,TRAIN,PW2,149,206
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,EW28,16434,6983
2025-12,WEEKDAY,8,TRAIN,NE10,38523,33748
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,NS27/CE2/TE20,404,897
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,TE19,1996,1360
2025-12,WEEKDAY,21,TRAIN,EW33,2633,6363
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,NS9/TE2,27683,30402
2025-12,WEEKDAY,8,TRAIN,DT3,23156,5040
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,DT2,874,1073
2025-12,WEEKDAY,8,TRAIN,EW17,60514,36015
2025-12,WEEKENDS/HOLIDAY,14,TRAIN,NE16/STC,21653,19431
2025-12,WEEKDAY,18,TRAIN,TE25,4504,7282
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,EW15,8083,4205
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,EW30,2191,1500
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,NS17/CC15,5848,10092
2025-12,WEEKDAY,20,TRAIN,NS5,15869,46351
2025-12,WEEKDAY,20,TRAIN,EW6,4997,16077
2025-12,WEEKDAY,7,TRAIN,TE22,298,1830
2025-12,WEEKDAY,7,TRAIN,BP13,3919,783
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NE15,9691,3397
2025-12,WEEKDAY,10,TRAIN,NS3,22744,12465
2025-12,WEEKDAY,7,TRAIN,EW10,27270,8745
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,EW29,13363,6647
2025-12,WEEKDAY,21,TRAIN,NS8,12407,21725
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,PW6,208,733
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NS13,22360,11920
2025-12,WEEKDAY,5,TRAIN,NS20,981,1664
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,EW25,7382,7804
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,EW3,5796,6201
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,TE13,856,2033
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,EW7,4790,8265
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,DT4,522,1074
2025-12,WEEKDAY,20,TRAIN,NS2,20011,44669
2025-12,WEEKDAY,10,TRAIN,EW1,28155,11737
2025-12,WEEKDAY,5,TRAIN,EW23,6469,4440
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,EW1,0,1576
2025-12,WEEKDAY,21,TRAIN,DT24,2705,7594
2025-12,WEEKDAY,13,TRAIN,EW24/NS1,67097,78821
2025-12,WEEKDAY,15,TRAIN,EW4,8477,9197
2025-12,WEEKDAY,0,TRAIN,NS5,659,6098
2025-12,WEEKENDS/HOLIDAY,14,TRAIN,NS24/NE6/CC1,21203,23285
2025-12,WEEKDAY,12,TRAIN,DT23,4312,4086
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2371,9152
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,TE5,2446,2098
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,SW4,1375,560
2025-12,WEEKDAY,9,TRAIN,CC25,7898,11860
2025-12,WEEKDAY,22,TRAIN,CC25,2373,4351
2025-12,WEEKDAY,21,TRAIN,SE4,1511,4574
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,DT33,1223,16
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,EW21/CC22,8736,6509
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,CC8,499,441
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,NE9,12714,7294
2025-12,WEEKDAY,10,TRAIN,NS25/EW13,14779,62714
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,TE6,4598,6319
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,EW33,1401,3358
2025-12,WEEKDAY,20,TRAIN,TE4,4667,5483
2025-12,WEEKDAY,6,TRAIN,NE1/CC29,6323,29460
